model,vg,vdd,tempK,dc_conv,dc_iters,dc_ms,hb_conv,hb_ms
bsim4,0.3,0.6,250,1,24,1.1276,1,4.4209
bsim4,0.35,0.6,250,1,24,1.11,1,5.3159
bsim4,0.4,0.6,250,1,24,0.9146,1,4.588
bsim4,0.45,0.6,250,1,26,1.4591,1,5.2404
bsim4,0.5,0.6,250,1,26,1.2188,1,5.1037
bsim4,0.55,0.6,250,1,29,1.1987,1,5.0116
bsim4,0.6,0.6,250,1,29,1.1377,1,4.8595
bsim4,0.65,0.6,250,1,29,0.9491,1,5.5651
bsim4,0.7,0.6,250,1,29,1.8123,1,5.424
bsim4,0.75,0.6,250,1,28,1.0964,1,11.6645
bsim4,0.8,0.6,250,1,28,1.0995,1,4.893
bsim4,0.85,0.6,250,1,28,0.9563,1,4.3857
bsim4,0.9,0.6,250,1,28,1.3833,1,5.0194
bsim4,0.3,0.7,250,1,25,0.9673,1,4.0252
bsim4,0.35,0.7,250,1,25,1.1619,1,4.6321
bsim4,0.4,0.7,250,1,26,1.2103,1,6.4967
bsim4,0.45,0.7,250,1,28,1.3303,1,4.1115
bsim4,0.5,0.7,250,1,28,1.2121,1,4.4946
bsim4,0.55,0.7,250,1,29,0.9192,1,4.7363
bsim4,0.6,0.7,250,1,29,0.9337,1,6.7271
bsim4,0.65,0.7,250,1,29,1.0088,1,8.4287
bsim4,0.7,0.7,250,1,29,1.1655,1,5.5136
bsim4,0.75,0.7,250,1,29,1.129,1,4.5537
bsim4,0.8,0.7,250,1,29,1.023,1,6.3372
bsim4,0.85,0.7,250,1,29,1.9316,1,5.5374
bsim4,0.9,0.7,250,1,29,1.715,1,5.2992
bsim4,0.3,0.8,250,1,27,1.0063,1,3.8219
bsim4,0.35,0.8,250,1,27,1.1854,1,6.1409
bsim4,0.4,0.8,250,1,27,1.0387,1,4.0576
bsim4,0.45,0.8,250,1,28,1.0352,1,4.3419
bsim4,0.5,0.8,250,1,29,1.5466,1,4.5315
bsim4,0.55,0.8,250,1,29,1.2705,1,4.6665
bsim4,0.6,0.8,250,1,29,1.0558,1,5.645
bsim4,0.65,0.8,250,1,28,2.2744,1,4.9251
bsim4,0.7,0.8,250,1,28,1.0554,1,4.7167
bsim4,0.75,0.8,250,1,28,1.0435,1,5.9535
bsim4,0.8,0.8,250,1,28,1.2539,1,5.7724
bsim4,0.85,0.8,250,1,30,1.2338,1,5.6681
bsim4,0.9,0.8,250,1,30,1.1423,1,4.6326
bsim4,0.3,0.9,250,1,27,0.9753,1,4.5565
bsim4,0.35,0.9,250,1,27,1.1842,1,4.8805
bsim4,0.4,0.9,250,1,27,0.9909,1,4.8401
bsim4,0.45,0.9,250,1,28,1.0233,1,4.2374
bsim4,0.5,0.9,250,1,29,1.5545,1,5.5836
bsim4,0.55,0.9,250,1,29,1.2659,1,5.2895
bsim4,0.6,0.9,250,1,29,1.2647,1,6.5133
bsim4,0.65,0.9,250,1,29,1.0558,1,5.7539
bsim4,0.7,0.9,250,1,29,1.0427,1,4.5917
bsim4,0.75,0.9,250,1,29,1.0477,1,4.567
bsim4,0.8,0.9,250,1,36,2.092,1,6.9225
bsim4,0.85,0.9,250,1,31,1.2121,1,4.3203
bsim4,0.9,0.9,250,1,31,1.18,1,4.4999
bsim4,0.3,1,250,1,29,1.4996,1,4.5582
